2023/01/13
左右2Vで空転させたときのログ
LPFなし
spd(*100000),encdiff,encang,0
265351,724,9842,0
279811,774,8333,0
265097,715,6946,0
259770,697,5554,0
256218,691,4125,0
258755,676,2742,0
268395,735,1291,0
269410,715,16227,0
263068,699,14827,0
271186,734,13381,0
275245,721,11932,0
279303,742,10469,0
278796,751,8958,0
265351,712,7512,0
264083,705,6091,0
264844,724,4667,0
259516,683,3266,0
272708,740,1805,0
264336,726,350,0
262307,695,15331,0
269156,737,13890,0
280318,759,12361,0
269917,695,10938,0
289958,784,9431,0
263575,702,7980,0
273215,711,6570,0
259516,710,5153,0
265351,705,3721,0
257487,690,2355,0
268395,737,892,0
268395,723,15826,0
265605,716,14398,0
271693,730,12952,0
271439,716,11517,0
280826,758,10026,0
279811,757,8512,0
269664,682,7102,0
261546,704,5681,0
269410,718,4262,0
261546,707,2856,0
265351,724,1430,0
269156,733,2,0
265858,706,14966,0
274230,736,13514,0
270678,713,12075,0
273215,723,10646,0
285899,766,9132,0
280826,719,7666,0
272708,705,6279,0
263322,697,4854,0
266112,707,3451,0
272708,713,2071,0
268903,715,614,0
262053,711,15588,0
271439,706,14179,0
271186,722,12730,0
268141,711,11299,0
286660,765,9798,0
267634,695,8352,0
278542,697,6928,0
264083,718,5525,0
271439,690,4138,0
244042,670,2767,0
269156,725,1345,0
273722,711,16294,0
263575,695,14888,0
271439,717,13496,0
276767,745,11992,0
249876,645,10623,0
269410,733,9117,0
257740,677,7726,0
260024,676,6365,0
266619,706,4969,0
256472,677,3607,0
262307,693,2227,0
261292,707,811,0
261292,682,15815,0
263829,708,14421,0
275752,728,12981,0
265097,713,11551,0
268649,731,10101,0
274484,734,8610,0
270425,697,7195,0
268395,697,5808,0
264590,707,4395,0
266619,687,3001,0
259009,724,1545,0
271947,713,113,0
258502,686,15120,0
271439,745,13663,0
273215,739,12176,0
267634,720,10728,0
271947,740,9251,0
267888,724,7802,0
257487,680,6397,0
277528,719,4966,0
268395,709,3547,0
269917,715,2130,0
268141,727,684,0
273215,715,15629,0
263322,724,14197,0
276259,738,12719,0
271947,741,11237,0
285899,764,9726,0
277781,742,8230,0
262814,700,6813,0
271439,715,5400,0
279811,721,3950,0
266112,698,2525,0
262814,731,1089,0
275498,727,15970,0
245310,680,14629,0
282094,762,13139,0
266619,747,11627,0
268649,709,10231,0
273469,764,8722,0
244549,635,7336,0
249876,705,5929,0
266873,721,4523,0
260024,661,3188,0
263829,732,1785,0
257233,673,379,0
252413,679,15420,0
259770,708,14016,0
262053,716,12579,0
257994,705,11167,0
266112,728,9717,0
259263,706,8286,0
261292,701,6901,0
257994,702,5529,0
263322,705,4140,0
258248,672,2785,0
